Gene,Pathway_Count,Mean_NES,Strongest_NES
GMPS,12,-2.0544658870987726,2.42123244465721
HPRT1,12,-1.9906037115589075,2.42123244465721
NME4,12,-2.136352240109325,2.42123244465721
PAICS,12,-2.0544658870987726,2.42123244465721
PAPSS2,12,-2.0033752924783985,2.42123244465721
NUDT16,12,-1.9323553354872915,2.32100489087833
FABP3,12,-1.69723107674681,2.26421603341546
FAR1,12,-1.9049194564010734,2.26421603341546
SUCLG1,12,-1.8934186600344625,2.20250733950987
CROT,12,-1.7127068023524574,2.16340511857394
NUDT8,12,-1.806625371908395,2.16169248415052
AKR1B1,12,-1.7692696308722717,2.02223800619612
PTGES3,12,-1.72287288484704,1.97238216203778
NEO1,12,1.67006526589554,1.90988691437547
NTN4,12,1.628698755690594,1.90988691437547
ACE,12,1.6140060760325583,1.86283688289286
E2F1,12,1.48806987326889,1.84704856607512
DPF2,12,1.5317333386732868,1.84034009692533
HECW2,12,1.5500118753972725,1.84034009692533
IQSEC2,12,1.6201555119260866,1.80068983496047
ARHGAP44,12,1.62713523681628,1.80064080740009
PIK3R1,12,1.54758567265082,1.80064080740009
PPP1R9B,12,1.474648213738866,1.80064080740009
CACNA1G,12,1.5873998710962758,1.7636892070389
ID3,12,1.5960981206277909,1.75960977026731
IGFBP3,12,1.5832584715690883,1.75960977026731
HHIP,12,1.5350880305243517,1.75587428465578
LLGL2,12,1.5178787591619476,1.75587428465578
NOTCH4,12,1.58397757429118,1.75587428465578
ASXL1,12,1.555648399128445,1.75522565274067
SOX13,12,1.6067641825846017,1.74421674271642
CHODL,12,1.5667359336548041,1.74404340020384
CPEB3,12,1.6055995205260718,1.74167257677338
LZTS1,12,1.6272993106220908,1.74167257677338
SYT2,12,1.6127983365478067,1.73633498085397
CDK5RAP3,12,1.4928157179902517,1.73393485669993
FOXN3,12,1.48964645102682,1.73393485669993
KIFC1,12,1.5514947606694984,1.72991752580885
SKA2,12,1.5453632922657559,1.72991752580885
MDFI,12,1.52305875403937,1.70232268389385
IQGAP3,12,1.4687442476275976,1.69702146411043
CENPV,12,1.518792107692894,1.66459897472865
GDF9,12,1.5634788454259207,1.6525463262626
ING1,12,1.5337929080345316,1.6525463262626
ITGB5,12,1.4944275134243168,1.6525463262626
GPNMB,12,1.449253898444985,1.61722880878282
CDC25B,12,1.466335555164959,1.59768109257646
ATRX,12,1.4942779084403834,1.59393480187533
SHMT2,11,-1.90920437574936,2.70059634875783
LSS,11,-2.1331745322434825,2.42365250697278
ERLIN1,11,-1.8959615924054818,2.40177394601922
ERLIN2,11,-1.8959615924054818,2.40177394601922
SDHC,11,-2.237133759885939,2.34927142867772
DHRS9,11,-1.88393018633814,2.31401119809841
ABHD5,11,-1.6580269114145192,2.26421603341546
STARD4,11,-1.8193454833910172,2.11697714379173
DECR2,11,-1.7206500152335908,1.97238216203778
PTGES,11,-1.709177421390098,1.97238216203778
EFNB1,11,1.72185768746467,1.90988691437547
SFRP5,11,1.6440777542544291,1.89153060261138
CLSTN2,11,1.61659343256405,1.88518252827797
DCHS2,11,1.6691718081307245,1.88518252827797
HMGB2,11,1.5798176924296519,1.86283688289286
GCLM,11,-1.5705948596520618,1.84914977251362
PLK2,11,1.519806605566251,1.80068983496047
FSCN1,11,1.5708255109440818,1.80064080740009
CHRNB2,11,1.5916485424916154,1.79200868483243
HOMER1,11,1.609990768813519,1.79200868483243
AKAP9,11,1.5830249876137945,1.7636892070389
IL18,11,1.598592014692209,1.75960977026731
ESRP2,11,1.5723951472852928,1.75587428465578
HMOX1,11,1.5672786832286427,1.75162645339694
NR4A1,11,1.5932687517932982,1.75162645339694
NR4A2,11,1.5898367139961564,1.74404340020384
TIAM2,11,1.572945051147929,1.74404340020384
ARHGAP33,11,1.6197850939260945,1.74167257677338
CC2D1A,11,1.6407086572656338,1.74167257677338
AVPR1A,11,1.5315610715150827,1.73633498085397
SLC23A2,11,1.60637482057639,1.73633498085397
DGKZ,11,1.4983334729261417,1.73393485669993
IER3,11,1.491020403376481,1.73393485669993
MBTPS1,11,1.491020403376481,1.73393485669993
ORC1,11,1.491020403376481,1.73393485669993
RBBP8,11,1.4676674946279245,1.73393485669993
TRIM39,11,1.491020403376481,1.73393485669993
UIMC1,11,1.491020403376481,1.73393485669993
CEP192,11,1.5545116630384181,1.72991752580885
CEP97,11,1.5545116630384181,1.72991752580885
KIF11,11,1.5545116630384181,1.72991752580885
KIF15,11,1.5545116630384181,1.72991752580885
KIF4A,11,1.5545116630384181,1.72991752580885
MAP9,11,1.5545116630384181,1.72991752580885
MYBL2,11,1.5545116630384181,1.72991752580885
MZT1,11,1.5545116630384181,1.72991752580885
PRC1,11,1.5545116630384181,1.72991752580885
EFEMP2,11,1.5559981531935692,1.72069478474295
TOB1,11,1.570145999937589,1.71800106759615
LIMD1,11,1.5986088838881756,1.6928118403035
MEST,11,1.5773542189983536,1.6928118403035
WNK3,11,1.5584132252485872,1.6928118403035
F2R,11,1.533782238323029,1.68345701223339
ZDHHC15,11,1.5809925555453672,1.67882606911224
SPTBN2,11,1.4999719594756755,1.64550380179343
EPS8,11,1.4373219044632373,1.62682597963663
HSPA2,11,1.4471567328356627,1.59393480187533
RAD51B,11,1.44807915172157,1.59393480187533
FASTKD2,10,-1.9562118519115559,2.70059634875783
FDFT1,10,-2.063368511775331,2.42365250697278
HSD17B7,10,-2.024860978930846,2.42365250697278
GNPDA1,10,-1.8621592470285049,2.42123244465721
PPIF,10,-1.850424310755763,2.34927142867772
VCP,10,-2.061904125553785,2.34927142867772
GCDH,10,-1.743016292354394,2.3475505154948
STAT3,10,-2.081257337068125,2.3475505154948
ITPA,10,-2.022118321691854,2.32100489087833
ALDH1A3,10,-1.898827193762608,2.31401119809841
ETFA,10,-1.8149245199822102,2.29136114084974
ETFB,10,-1.8149245199822102,2.29136114084974
FADS1,10,-1.793337595118896,2.26421603341546
GK,10,-1.777746989415217,2.26421603341546
GK5,10,-1.777746989415217,2.26421603341546
HEXB,10,-1.791080574513748,2.26421603341546
MFSD2A,10,-1.765374177719533,2.26421603341546
OSBP,10,-1.812814861525021,2.26421603341546
PNPLA3,10,-1.6891164056877561,2.26421603341546
RPL11,10,-1.825345579638592,2.25824079623003
RPL5,10,-1.825345579638592,2.25824079623003
SORD,10,-1.799975962137102,2.22451074319049
HMGCL,10,-1.746562205553702,2.18150617506625
OXSM,10,-1.814748178253985,2.16340511857394
MT3,10,-1.8193204175554831,2.1626984785487
ERRFI1,10,-1.754750313934469,2.11697714379173
NSUN4,10,-1.7333406823309399,2.07657418136766
ABHD2,10,-1.727217481606725,1.97238216203778
SEMA3B,10,1.743885466299413,1.90988691437547
CELSR2,10,1.70190404426931,1.89153060261138
CELSR1,10,1.648342545700017,1.88518252827797
GRIK2,10,1.611941483603957,1.86090112988348
CCNA2,10,1.587448201539222,1.84704856607512
GAS6,10,1.5775914959254491,1.84704856607512
