"Regulator","Target_Count","Overlap","OddsRatio","PValue","OverlapGenes","FDR"
"SREBF1",27,9,2.59403084065661,0.0259237148478261,"HK2;ACLY;FASN;FDPS;LPIN1;PCSK9;HMOX1;FDFT1;SCD",0.245487285528062
"PTTG1",15,6,3.44605423424579,0.0271928321485989,"CDK1;CCNB1;ID3;DOCK1;KDR;RHOA",0.245487285528062
"HOXC11",2,2,25.0482509047045,0.0278111957460985,"S100B;LCT",0.245487285528062
"JDP2",2,2,25.0482509047045,0.0278111957460985,"DDIT3;ATF3",0.245487285528062
"MTA2",2,2,25.0482509047045,0.0278111957460985,"CDH1;FSHR",0.245487285528062
"POU4F1",2,2,25.0482509047045,0.0278111957460985,"HPSE;HSP90AA1",0.245487285528062
"SKIL",2,2,25.0482509047045,0.0278111957460985,"SMAD7;ADAM12",0.245487285528062
"PAX8",8,4,5.02424242424242,0.0305932859273704,"TP53;WT1;E2F1;TG",0.260042930382649
"SOX4",8,4,5.02424242424242,0.0305932859273704,"AXIN2;HDAC8;DHX9;DICER1",0.260042930382649
"GABPA",5,3,7.02370012091898,0.0354936467072788,"ERBB2;RPS3A;OXTR",0.276128539637983
"IFI16",5,3,7.02370012091898,0.0354936467072788,"TP53;BRCA1;WT1",0.276128539637983
"KAT5",5,3,7.02370012091898,0.0354936467072788,"GMPS;STAT3;HDC",0.276128539637983
"LMO4",5,3,7.02370012091898,0.0354936467072788,"BRCA1;DLG4;ESR1",0.276128539637983
"TBX5",5,3,7.02370012091898,0.0354936467072788,"GJA5;NPPA;ITGA9",0.276128539637983
"SF1",12,5,3.68805184285136,0.0362065341420788,"SOX9;STAR;AMH;CYP11A1;HSD3B2",0.276950315717804
"SREBF2",20,7,2.79948446615113,0.0368060332435426,"ACOT7;HMGCR;FDPS;PCSK9;FDFT1;ABCA1;MTTP",0.276950315717804
"NFE2L2",16,6,3.11635055971231,0.0375542535072849,"BRCA1;SOD2;CAT;HMOX1;NQO1;SDHB",0.278022618707158
