"GeneID","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance"
"80024","SLC24A6",0.217581476735273,4.45984268658158,1.26162456536208,0.23016190090119,0.78206957372995,-5.32353415720292,"Not Significant"
"5205","ATP8B1",0.389631949594157,2.39605684297415,1.26161046819458,0.230166810114579,0.78206957372995,-5.32355023322717,"Not Significant"
"5129","CDK18",0.319332459341548,3.81818419863074,1.26141609340313,0.230234507937052,0.78206957372995,-5.32377187898682,"Not Significant"
"9886","RHOBTB1",0.309197139536198,7.27141430373066,1.26137719185997,0.230248058670479,0.78206957372995,-5.32381623533228,"Not Significant"
"5970","RELA",0.232867339358614,5.99448134095068,1.26111673295172,0.230338801796737,0.78206957372995,-5.3241131891552,"Not Significant"
"79791","FBXO31",0.203609448680496,5.43963871823648,1.2610420476304,0.230364827214136,0.78206957372995,-5.32419833060469,"Not Significant"
"717","C2",0.296198011799981,1.98689738719519,1.26092174303306,0.230406754410967,0.78206957372995,-5.32433547007019,"Not Significant"
"6917","TCEA1",-0.178083332963171,6.23985459246507,-1.26080403069179,0.230447784082335,0.78206957372995,-5.32446964489154,"Not Significant"
"9094","UNC119",-0.260638461042506,5.0283350434672,-1.26056077190396,0.230532592558864,0.782177411467837,-5.32474689405148,"Not Significant"
"56257","MEPCE",0.265612360091986,5.18266359992526,1.2600577797957,0.230708032149142,0.782415358920634,-5.32532003969523,"Not Significant"
"7499","XG",0.392704243778537,1.77225282352237,1.26005551978786,0.230708820662136,0.782415358920634,-5.32532261451882,"Not Significant"
"8289","ARID1A",0.359272648287316,6.73621660202585,1.2590058920076,0.231075266659551,0.783477955853268,-5.32651807373051,"Not Significant"
"23101","MCF2L2",0.243533803696733,3.87333165867265,1.25858278203587,0.23122311410654,0.783799059976409,-5.32699975442167,"Not Significant"
"143684","FAM76B",0.224988455348779,4.92603714956655,1.25825662587421,0.23133713447112,0.783847220538659,-5.32737097587317,"Not Significant"
"84002","B3GNT5",-0.336686434848128,4.36044301142769,-1.25823809728631,0.231343613194439,0.783847220538659,-5.32739206237177,"Not Significant"
"2805","GOT1",-0.178356036910947,4.45896469664285,-1.25758479092553,0.231572141465048,0.784262204982967,-5.32813540776549,"Not Significant"
"6992","PPP1R11",0.1878915458625,5.0170868047845,1.25751840177445,0.231595374640852,0.784262204982967,-5.32821093023299,"Not Significant"
"9577","BRE",-0.249516078228453,5.47722757338962,-1.2574320034017,0.231625612916523,0.784262204982967,-5.32830921008765,"Not Significant"
"57062","DDX24",0.161312154200927,7.63573853780674,1.25714764218642,0.231725157783076,0.784419176530316,-5.32863264022779,"Not Significant"
"84275","SLC25A33",-0.212884280470298,3.89065706861648,-1.25653044470614,0.231941334339231,0.784970798570289,-5.3293344437157,"Not Significant"
