"Database","Regulator","Target_Count","Overlap","OddsRatio","PValue","FDR","OverlapGenes"
"TRRUST","FOXO1",24,5,1.41025641025641,0.371827282954066,0.618833201604763,"PDGFB;PDGFA;EGR1;IGFBP1;KLF2"
"TRRUST","ESR2",19,4,1.45090909090909,0.394263743637493,0.618833201604763,"JUN;INSR;FOS;BRCA2"
"TRRUST","HES1",8,2,1.92122111904983,0.396264893975913,0.618833201604763,"E2F1;PTEN"
"TRRUST","BRD7",3,1,2.9956678700361,0.421993011116102,0.618833201604763,"BRD2"
"TRRUST","CTNNBIP1",3,1,2.9956678700361,0.421993011116102,0.618833201604763,"MMP14"
"TRRUST","FOXP1",3,1,2.9956678700361,0.421993011116102,0.618833201604763,"HIP1R"
"TRRUST","HOPX",3,1,2.9956678700361,0.421993011116102,0.618833201604763,"FOS"
"TRRUST","ING2",3,1,2.9956678700361,0.421993011116102,0.618833201604763,"BCL2"
"TRRUST","NOTCH3",3,1,2.9956678700361,0.421993011116102,0.618833201604763,"HES1"
"TRRUST","XRCC5",3,1,2.9956678700361,0.421993011116102,0.618833201604763,"ERBB2"
"TRRUST","NR1H4",20,4,1.36231404958678,0.43491977976535,0.63173474339334,"SCARB1;RELA;HSD3B2;ABCC4"
"TRRUST","EGR2",9,2,1.66425412143144,0.458462523722502,0.647490148888088,"PTGS2;IGF2"
"TRRUST","GATA6",9,2,1.66425412143144,0.458462523722502,0.647490148888088,"APOA1;CYP11A1"
"TRRUST","SMAD7",9,2,1.66425412143144,0.458462523722502,0.647490148888088,"CDK1;HMOX1"
"TRRUST","TAL1",10,2,1.46774994678209,0.51676810484973,0.657559897835613,"ALDH1A2;MYB"
"TRRUST","DLX5",4,1,2.13873130479629,0.518598437944427,0.657559897835613,"IGFBP3"
"TRRUST","EHMT2",4,1,2.13873130479629,0.518598437944427,0.657559897835613,"BIRC5"
"TRRUST","HAND2",4,1,2.13873130479629,0.518598437944427,0.657559897835613,"NPPA"
"TRRUST","TRIM28",4,1,2.13873130479629,0.518598437944427,0.657559897835613,"ID1"
"TRRUST","ZHX2",4,1,2.13873130479629,0.518598437944427,0.657559897835613,"CCNA2"
"TRRUST","HMGA2",5,1,1.66265543521861,0.599090017452111,0.703087854456897,"CDH1"
"TRRUST","NR1H3",5,1,1.66265543521861,0.599090017452111,0.703087854456897,"ABCA1"
"TRRUST","RORA",5,1,1.66265543521861,0.599090017452111,0.703087854456897,"E2F1"
"TRRUST","TEAD1",5,1,1.66265543521861,0.599090017452111,0.703087854456897,"SRF"
"TRRUST","MYB",37,6,1.028227287667,0.600458472651642,0.703087854456897,"BCL2;ERBB2;WT1;MYB;NR3C1;DHRS2"
"TRRUST","SRF",25,4,1.04295983086681,0.620826549641257,0.719594409811457,"MMP14;FOS;UBE2S;MYL9"
"TRRUST","FOXO4",6,1,1.35969806366918,0.666150151243797,0.751260244277402,"SOD2"
"TRRUST","PRDM1",6,1,1.35969806366918,0.666150151243797,0.751260244277402,"MKI67"
"TRRUST","CEBPB",60,9,0.916897968908214,0.692610023381796,0.77728117538446,"MAD1L1;IL10;PRDM1;INSR;DDIT3;STAR;PTPN13;PTGS2;OXTR"
"TRRUST","NFATC1",7,1,1.14995834490419,0.722015612660764,0.792835325864332,"EGR3"
"TRRUST","FOSL2",15,2,0.921905017200554,0.742129789582383,0.807198041275625,"BRCA1;MYB"
"TRRUST","MYBL2",8,1,0.996149217809868,0.768551429615743,0.824217537835574,"MYBL2"
"TRRUST","NR3C1",38,5,0.815309842041312,0.785519152482574,0.836550559140375,"SRF;TP53;BRCA1;CDK6;NR3C1"
"TRRUST","DDIT3",18,2,0.753189311693534,0.828971931503527,0.866738306515078,"SIRT1;CDK2"
"TRRUST","NPM1",11,1,0.710503696063263,0.866480178651222,0.89374022921553,"DNMT1"
