"Term","pathway","ES","NES","pval","padj","size","LeadingEdgeGenes"
"Tyrosine Phosphorylation of Stat Protein","GOBP_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN",0.424667789900927,1.11741644548952,0.30466472303207,0.542848690122757,26,"HES1;CTF1;IL10"
"Positive Regulation of Peptidyl Serine Phosphorylation","GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION",0.467982618782486,1.14974329484655,0.305847076461769,0.544401579697956,18,"TRIM6;CREBL2;EGFR;MAD2L2;AKT1;IL11;ARAF;BRAF;STOX1"
"Reproductive Behavior","GOBP_REPRODUCTIVE_BEHAVIOR",-0.35938121936606,-1.10438368154515,0.305810397553517,0.544401579697956,25,"HEXB;DDO;NR3C1;PTEN;GABRB3"
"Lamellipodium Assembly","GOBP_LAMELLIPODIUM_ASSEMBLY",0.359316563703271,1.09812664051784,0.306410256410256,0.544850318885852,59,"FSCN1;ABLIM1;PIK3CA;SRGAP2;PIK3R1;ARHGEF6;VCL;AVIL;PARVB;WASF3;NCK2;AKIRIN1;SH2B1"
"Regulation of Cyclin Dependent Protein Serine Threonine Kinase Activity","GOBP_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",0.413319526865166,1.11942238911292,0.306382978723404,0.544850318885852,29,"PIM1;CCNG1;CDK5RAP3;CCNT1;CDC6;DIRAS3;SERTAD1;BLM"
"Bone Resorption","GOBP_BONE_RESORPTION",0.371601822916123,1.10218121853021,0.30718954248366,0.545958887529306,47,"FSHR;TNFSF11;LTBP3;TNFAIP3;ACP5;CLDN18;EXT1"
"Pyrimidine Nucleobase Metabolic Process","GOBP_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS",-0.384188180809584,-1.1088773551381,0.307692307692308,0.546298101290499,20,"DPYSL4;MAPK1;CRMP1;DHODH"
"Single Fertilization","GOBP_SINGLE_FERTILIZATION",-0.272619813783809,-1.05303233713595,0.307692307692308,0.546298101290499,86,"HEXB;GNPDA1;TRPC3;WDR54;PARK7;IQCH;CD9;ITPR1;CCT5;ALDOA;CD46;SLIRP;CCT8;CRKL;CCT3;HYAL3;ZP3;CCT7;B4GALT1"
"Response to Xenobiotic Stimulus","GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS",0.295744521553657,1.06668989917426,0.307855626326964,0.546311174783867,278,"PRICKLE1;NOS2;AHRR;GSTM4;GSTA1;FOS;CRHBP;FMO5;FOSB;ACSM1;CYP3A4;AMH;JUN;ABAT;SULT1C4;SEMA3C;KCNJ8;PPP1R14A;MCM7;PTPRM;KCNQ1;HSD11B2;HDAC5;SLC10A1;DNMT3A;BCL2;CYP2E1;IL10;CYP3A5;SLC12A5;RAD54L;ASS1;SUFU;CDH1;COL6A1;FYN;THBS1;CPT1A;FOSL2;IGFBP2;TP53;MDK;GSTM2;KCNC1;SLC1A3;NR1I2;CYP3A7;GAS6;CENPF"
"Regulation of Synaptic Transmission Gabaergic","GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC",0.450578472820311,1.14986691414101,0.309171597633136,0.548368661523481,21,"GABRB1;PLCL1"
"Glial Cell Migration","GOBP_GLIAL_CELL_MIGRATION",0.374594977838502,1.09025175210443,0.30952380952381,0.548715538847118,42,"MATN2;TGFB2;SYNE2;DAB2IP;VCAN;SRGAP2;CSPG4;MMP14;FOXG1;CSF1;SUN1;CX3CR1"
"Execution Phase of Apoptosis","GOBP_EXECUTION_PHASE_OF_APOPTOSIS",0.357412636683391,1.10022109052989,0.309948979591837,0.549191338143755,61,"PTGIS;COL6A1;TOP2A;PLSCR2;TP53;FOXL2;CDK5RAP3;BOK;CASP7;FZD3;DFFA;NFKBIZ;MADD;AKT1;BLVRA"
"Cartilage Development Involved in Endochondral Bone Morphogenesis","GOBP_CARTILAGE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS",0.411371409839921,1.11414616654678,0.31063829787234,0.549949399679733,29,"POC1A;FOSL2;THBS3;RARG;SOX9;EXT1;SERPINH1;SMPD3;AXIN2"
"Cellular Response to Insulin Stimulus","GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS",0.309629586095471,1.07977783070151,0.310961968680089,0.549949399679733,178,"FOXO1;TBC1D4;AKT3;PRKCZ;KANK1;IRS1;IGF1;SORBS1;ENPP1;INSR;GRB14;IGFBP1;PIK3CA;PIK3R1;HDAC5;GRB10;SOCS3;PDK2;PAK1;ZBTB7B;MYO1C;WDTC1;INPP5K;COL6A1;PRKCQ;GSK3A;PHIP;INHBB"
"Negative Regulation of Canonical Nf Kappab Signal Transduction","GOBP_NEGATIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION",-0.282448862451183,-1.07234764708443,0.311004784688995,0.549949399679733,77,"IRAK1;NR1H4;RORA;TGFBR3;HDAC1;RBX1;AZI2;IRAK2;SNIP1;IRAK3;NKIRAS1;GSTP1;TNIP2;TLE1;C15orf39;OTUD7B;SBNO1;STAT3;DNAJA3;TANK"
"Positive Regulation of Dendritic Spine Morphogenesis","GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS",0.487015185973313,1.14582513103063,0.310975609756098,0.549949399679733,15,"DBN1;PTPRD;MAPRE3;STAU2"
"Regulation of Systemic Arterial Blood Pressure by Circulatory Renin Angiotensin","GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN",0.480444320847771,1.14826133045262,0.311178247734139,0.549978507473607,16,"ACE;GJA5;PCSK5;EDNRB;F2R"
"Nadph Regeneration","GOBP_NADPH_REGENERATION",-0.376008658113073,-1.10509964615072,0.31306990881459,0.552510652322324,22,"IDH1;ACO1;TKT;PGD;RPE"
"Regulation of Centrosome Cycle","GOBP_REGULATION_OF_CENTROSOME_CYCLE",0.36395955866538,1.09738138118124,0.312987012987013,0.552510652322324,53,"BRCA1;CEP120;POC1A;CCNF;CCNL1;PLK2;PLK4;FBXL13;CHMP4C;SIRT1;CCDC15;MARK4;ROCK2;CHMP1B;STIL;CEP76"
"Vascular Transport","GOBP_VASCULAR_TRANSPORT",-0.286260707890962,-1.07150425015352,0.313084112149533,0.552510652322324,73,"SLC2A1;SLC7A5;SLC16A7;APOE;SLC1A2;FABP5;SLC38A5;SLC4A4;SLC2A13;SLC1A5;SLC16A1;TFRC;SLC12A2;SLC16A12;ATP2A3;ABCB1;SLC5A3;MFSD2A;SLC3A2;ABCC4;SLC2A4;SLC7A2;ABCC2;ATP1B2;SLC5A6"
"Negative Regulation of Cell Substrate Junction Organization","GOBP_NEGATIVE_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION",0.463898487559177,1.13970936986556,0.313343328335832,0.552689667250967,18,"ARHGAP6;RCC2;THBS1;MMP14"
"Positive Regulation of Transporter Activity","GOBP_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY",0.449415569003365,1.14689920772781,0.313609467455621,0.552880706843,21,"CACNB3;WNK3;SGK1;VMP1;STIM1"
"Cellular Response to Reactive Oxygen Species","GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",-0.260416476366306,-1.05433273020366,0.31578947368421,0.556164166071287,114,"BNIP3;MT3;NQO1;SOD2;PRDX3;CAT;PARK7;PPIF;PRDX1;PRKAA1;AIFM1;TXN"
"Positive Regulation of Dna Binding Transcription Factor Activity","GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY",0.337660545694378,1.0868407149811,0.315659679408138,0.556164166071287,90,"PRKCZ;ESR2;FANK1;RTKN2;CRTC2;ARHGEF2;ADCY1;RPS6KA5;CRTC1;TRAF2;PRKCQ;PRKD2;RNF31;AGER;IKBKG;SRF;IL18;ESR1;CLU;TSSK4;LGALS9;ERC1;RPS6KA4;PRKD1;ARHGEF5;RBCK1;DDR2"
"Protein Acylation","GOBP_PROTEIN_ACYLATION",0.360640865963727,1.08740767413282,0.315994798439532,0.556246120067176,54,"FOXO1;CLIP3;ZDHHC21;MBOAT4;PPM1B;ZDHHC15;ZDHHC14;DIP2B;BAG6;ING5;ATAT1;SIRT1;KAT7;CLOCK;ZDHHC7;SPHK1;ZDHHC12;KAT2B;ZDHHC5"
"Long Term Memory","GOBP_LONG_TERM_MEMORY",0.421619982754798,1.10939683602359,0.316326530612245,0.556550395145502,26,"CPEB3;CCND2;ADCY1;EGR1;SGK1;CHST10;CTNS;SRF"
"Bone Remodeling","GOBP_BONE_REMODELING",0.351664649894403,1.08833341285988,0.316537467700258,0.55664194244679,64,"FSHR;TNFSF11;LRP5;LTBP3;TNFAIP3;MDK;ACP5;CLDN18;EXT1"
"Positive Regulation of Organelle Organization","GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION",0.288154658805009,1.06265698247371,0.317622950819672,0.558270545269098,413,"WNT5A;SEMA5A;LIMCH1;PLA2G5;BUB1;LRP5;ARHGEF10L;UBE2C;SYT2;NCAPG;IGF1;FSCN1;HIP1R;DDHD1;PMAIP1;NRP1;FCHSD1;SYT11;PDGFB;INSR;NUMA1;PLK1;DLGAP5;SORBS3;CEP120;BMF;PAK1;CDK2;ESPL1;ERC2;KCTD17;CDK1;CDC20;PRKCQ;KLF4;TP53;SKA3;WDR45;PAN2;TESK1;UVRAG;CDC42EP1;GSK3A;PHIP;LIMK1;MAP2K7;SPAG5;CD47;ATRX;ULK1;BOK;AKAP9;TGFB3;SYT1;PLK4;FERMT2;SYT5;FLNA;NCAPH;WASF3;NUSAP1;NCK2;CLASP1;CROCC;SMPD3;NCAPD2;INO80E;ACD;DZIP1;NAF1;NCAPH2;MICU1;MAD1L1;MNS1;NCAPD3;AMOT;SH2B1;SLX4;NEK2;SYNPO2L;BAIAP2L1;ACTR8;SYT7;CCDC15;MARK4;WNT4;ROCK2;DCTN1;TAL1;DDX11;PRKD1;ARHGEF5;RPH3AL;KDR;STIL;CCP110;NCAPG2;TNKS;SFRP1;ZNF205;MLLT11;SPIRE1"
"Inorganic Anion Transport","GOBP_INORGANIC_ANION_TRANSPORT",0.3353595512995,1.08553295713256,0.318292682926829,0.558931864195022,91,"SFRP4;CASR;GABRB1;SLC25A27;ENPP1;KCNQ1;SLC37A1;SLC12A4;CLIC6;FGFR1;SLC12A5;ANO5"
"Phagolysosome Assembly","GOBP_PHAGOLYSOSOME_ASSEMBLY",0.467498763399866,1.1355061960468,0.318318318318318,0.558931864195022,17,"PLA2G5;SRPX"
"C21 Steroid Hormone Biosynthetic Process","GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS",-0.395763418021922,-1.10663839579414,0.319402985074627,0.559399708098593,18,"CYP11A1;STAR;AKR1B1;HSD3B1;SCP2;BMP2;ADM;CLCN2"
"Cellular Senescence","GOBP_CELLULAR_SENESCENCE",0.339957039449245,1.08959456408081,0.319702602230483,0.559399708098593,86,"AKT3;PAWR;MAPK10;ARG2;MAP3K5;ING2;TBX3;CDK2;SMC6;CDK6;TP53;NUAK1;PLK2;FBXO5;MAP2K7;LMNA;YPEL3;SRF;BRCA2"
"Dna Recombination","GOBP_DNA_RECOMBINATION",0.29558359762132,1.06496101799548,0.319532908704883,0.559399708098593,258,"TNFSF4;CCNB1IP1;MCM5;POLQ;MCM7;SAMHD1;RECQL4;PLK1;NONO;BRCA1;HMGB2;GINS2;PGBD5;USP51;IL10;RAD54L;CHEK1;MCM8;SMC6;TOP2A;MSH6;PSMC3IP;KDM4D;ZMYND8;MAD2L2;EXO1;MUS81;RAD51B;RAD51D;RMI2;ERCC2;RAD52;TONSL;BRCA2;KDM1A;HELB;FANCD2;INO80E;ARID2;RFWD3;BARD1;KLHDC3;POLM;NFKBIZ;HUS1B;RBBP8;XRCC1;SLX4;TEP1;BRD8;ACTR8;EME1;CDC7;HMGB3;RAG1;LIG1"
"Oligosaccharide Metabolic Process","GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS",0.374282671512277,1.09344158695032,0.319682959048877,0.559399708098593,43,"ST8SIA1;ST6GAL2;B3GALT5;ST6GALNAC6;B3GALT4;B3GALNT1;ST3GAL3"
"Positive Regulation of Amyloid Precursor Protein Catabolic Process","GOBP_POSITIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS",-0.37281271979163,-1.09570669672804,0.319148936170213,0.559399708098593,22,"SPON1;CASP3;APOE;SLC2A13;EPHA4;LYN"
"Postsynaptic Modulation of Chemical Synaptic Transmission","GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION",0.43489625890207,1.11880000969135,0.319054652880355,0.559399708098593,23,"WNT5A;IGF1;CDH1;GNAO1;GRM3;GHSR;BRAF;PRKACA"
"Regulation of Cell Cell Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION",0.288349051321075,1.05906948299293,0.318885448916409,0.559399708098593,398,"SOX4;WNT5A;DAPL1;HES1;PLA2G5;TNFSF11;NR4A3;ZBTB16;TNFSF4;PRKCZ;CD24;IGF1;ADAMTS18;PAWR;EGR3;ERBB2;C1QTNF1;ANK3;ARG2;SMARCC2;EFNB1;PAG1;VCAM1;FSTL3;ILDR2;DLG5;NOTCH4;ZDHHC21;SELE;JAG1;ZBTB7B;IRF1;IL10;ASS1;CDH1;FYN;ABCA12;HLA-DRB5;PRKCQ;SMARCA2;IGFBP2;KLF4;SOX13;CELSR2;AMBRA1;SPINT2;MDK;CBLB;MDGA1;AGER;MAD2L2;LRFN3;CD47;SOCS5;BRD7;JAK1;GPNMB;IL18;KIF26B;NCK2;ARID2;NFKBIZ;MAD1L1;ALOX5;BRD2;AKT1;IL20RB;CEACAM1;LGALS9;ARID1B;SELP;TJP1;CEBPB;RELA;ARID1A;EFNB3;EFNA5;RAP1GAP;TWSG1;LAG3;WNT4;RAG1;SART1;EPCAM"
"Modified Amino Acid Catabolic Process","GOBP_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS",-0.386385096654102,-1.10594512686266,0.320474777448071,0.559911793217254,19,"GOT2;PCYOX1;PCYOX1L;ABHD12B;SARDH"
"Positive Regulation of Animal Organ Morphogenesis","GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS",-0.387158871602556,-1.10815989301421,0.320474777448071,0.559911793217254,19,"WNT2B;ROBO1;CTNNB1;FGF2"
"Regulation of Arp2 3 Complex Mediated Actin Nucleation","GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION",0.461097331320645,1.14697009742354,0.320300751879699,0.559911793217254,19,"HIP1R;PICK1;WASH3P"
"Glomerular Epithelium Development","GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT",0.445399274616096,1.13664970778064,0.321005917159763,0.56056018335526,21,"CD24;JAG1;EDNRB;EXT1;ASXL1;PROM1;WT1;LAMB2"
"Import into Nucleus","GOBP_IMPORT_INTO_NUCLEUS",0.312275009602472,1.07380415175425,0.321550741163056,0.560906494773273,156,"PRICKLE1;JUP;NR4A1;FCHSD1;SMO;ING1;PIK3R1;CHP2;MBTPS1;EFCAB7;EIF4ENIF1;CDK1;BACH2;SUFU;CDH1;PKIA;CBLB;TMCO6;NUP93;NUP214;LMNA;MAVS;FLNA;FAM53C;TRIM28;ASF1B;AKT1;IPO13;NFKBIA;RPAIN;TSC2;BCL3;PTTG1IP;PRKD1;CRY2"
"Negative Regulation of Muscle Cell Differentiation","GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION",0.371116448330202,1.09247295441582,0.322368421052632,0.560906494773273,45,"PDGFB;PRDM6;MYOCD;FOXP1;HDAC5;PAK1;SOX6;NFATC1;GSK3A;SMAD4;FOXO4"
"Plasma Membrane Organization","GOBP_PLASMA_MEMBRANE_ORGANIZATION",0.321973465910579,1.08296586611122,0.321933962264151,0.560906494773273,123,"SYTL4;TGFB2;SYT11;ANK2;ANK3;PLSCR3;RAB3A;SERINC5;SPESP1;COL6A1;PLSCR2;ANO5;PRX;SYT1;SYPL2;VMP1;CASP7;COLEC12;AKT2;CLU;ATP10A;AKT1;CHMP4C;FOLR2;ATP8B1;BAIAP2L1;SYT7;UGCG"
"Presynaptic Modulation of Chemical Synaptic Transmission","GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION",0.444553786459561,1.13449203954715,0.322485207100592,0.560906494773273,21,"ADRA2A;RAB3A;ADCY1;ADORA3;FXR2;FBXL20;HIP1"
"Purine Containing Compound Transmembrane Transport","GOBP_PURINE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORT",-0.34314792861906,-1.08127979478493,0.321678321678322,0.560906494773273,31,"LRRC8D;SLC33A1;SLC43A3;LRRC8B;SLC25A16;LRRC8E;SLC17A9;SLC25A4;ABCC4"
