"Term","NES","padj","LeadingEdgeGenes"
"Generation of Precursor Metabolites and Energy",-1.96946122274348,4.76078555729946e-11,"AK4;PGK1;LDHA;MLXIPL;CROT;IDH1;MT3;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;PDK1;ACSS3;GNPDA1;TPI1;ENO1;KL;GAPDH;AACS;ACO1;SOD2;GPI;PFKP;PFKFB4;DLAT;NDUFB9;HK2;IGF2;PGAM1;CAT;TPK1;PPP1CC;PARK7;AGL;PGAM4;PYGL;NDUFS3;UQCR11;PPIF;NDUFAF1;MFSD8;MDH1;TYRP1;SLC4A4;GYG2;LIPA;EPM2A;TKT;ALDOA;NDUFA9;PRKAA1;DGUOK;HMGCL;DHRS2;NDUFB3;PDK3;UQCRC2;HKDC1;GYS1;ACOX1;NHLRC1;GFPT1;GBE1;ETFB;PFKFB3;NDUFS8;IDE;RHOA;PDIA5;NDUFAB1;PGD;NDUFA12;NDUFS5;CYC1;RPE;GHITM;SUCLG1;NDUFA8;ETFA;NDUFA6;FBP1;SDHD;DHTKD1;COX6C;NDUFC2;NDUFV2;NDUFB2;PSEN1;UQCRH;PHKA1;STOML2;MTCH2;UQCRFS1;PGM2;DLD;SLC25A33;NDUFA1;PPP1R3G"
"Cellular Respiration",-2.20250733950987,5.19405112394622e-11,"AK4;PGK1;LDHA;MLXIPL;IDH1;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;PDK1;TPI1;ENO1;GAPDH;ACO1;SOD2;GPI;PFKP;PFKFB4;DLAT;NDUFB9;HK2;PGAM1;CAT;TPK1;PARK7;PGAM4;NDUFS3;UQCR11;PPIF;NDUFAF1;MFSD8;MDH1;SLC4A4;LIPA;ALDOA;NDUFA9;PRKAA1;DGUOK;NDUFB3;PDK3;UQCRC2;HKDC1;ETFB;PFKFB3;NDUFS8;IDE;RHOA;NDUFAB1;NDUFA12;NDUFS5;CYC1;GHITM;SUCLG1;NDUFA8;ETFA;NDUFA6;FBP1;SDHD;DHTKD1;COX6C;NDUFC2;NDUFV2;NDUFB2;PSEN1;UQCRH;STOML2;MTCH2;UQCRFS1;DLD;SLC25A33;NDUFA1;PRKAG2;SLC25A13;COQ10A;COX5B;FH;NDUFB10;NDUFB8;ETFDH;TRAP1;MTTP;STAT3;MSH2;PDHB;UQCR10;PGM1;NDUFA7;COX4I1;UQCRQ;NDUFC1;CISD1;ARL2;SDHC;ADPGK;PPP2CA;SHMT2;IFNAR1;NDUFA13;IL10RB;COX7C;PRKAG1;NDUFA4;MDH2;VCP;BLOC1S1;NDUFS4"
"Atp Metabolic Process",-2.31307488797898,1.37639707410212e-10,"AK4;PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;GPI;NUDT5;PFKP;PFKFB4;NDUFB9;HK2;MAP2K1;PGAM1;PGAM4;NDUFS3;MFSD8;SLC4A4;LIPA;ALDOA;NDUFA9;PRKAA1;NDUFB3;HKDC1;PFKFB3;NUDT2;NDUFS8;NDUFAB1;NDUFA12;NDUFS5;FIS1;NDUFA8;NDUFA6;FBP1;SDHD;DHTKD1;NDUFC2;NDUFV2;NDUFB2;PSEN1;STOML2;MTCH2;NDUFA1;PRKAG2;SLC25A13"
"Ribose Phosphate Metabolic Process",-2.06585834596001,1.31323747973788e-09,"AK4;PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;NME1;CASK;GPI;PAICS;NUDT5;PFKP;PFKFB4;NDUFB9;HK2;MAP2K1;PGAM1;APRT;PGAM4;RORA;PAPSS2;NDUFS3;PDE8A;MFSD8;RAN;SLC4A4;LIPA;ALDOA;NDUFA9;PRKAA1;GMPS;NDUFB3;PDE10A;IMPDH2;HKDC1;PNP;PFKFB3;NUDT2;NDUFS8;ENTPD7;MTHFD1;NDUFAB1;NDUFA12;NDUFS5;AMPD3;FIS1;NDUFA8;NDUFA6;FBP1;ITPA;NME4;UPP1;SDHD;DHTKD1;NDUFC2;NDUFV2;NDUFB2;GNAI3;PSEN1;STOML2;MTCH2;NDUFA1;PRKAG2;NUDT3;SLC25A13;ATIC"
"Nucleoside Diphosphate Metabolic Process",-2.378691247977,3.89732486660278e-09,"AK4;PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;AK2;TPI1;ENO1;GAPDH;NME1;CASK;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;HK2;PGAM1;PGAM4;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;HKDC1;PFKFB3;ENTPD7"
"Pyruvate Metabolic Process",-2.37829324887674,8.79947848006015e-09,"PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;LDHB;UCHL1;PDK1;TPI1;ENO1;GAPDH;SLC16A3;GPI;VDAC1;PFKP;PFKFB4;DLAT;HK2;PGAM1;TPK1;PGAM4;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;PDK3;HKDC1;PFKFB3;SLC16A1;FBP1;DHTKD1;PSEN1;MTCH2;LDHAL6B;DLD"
"Carbohydrate Catabolic Process",-2.22451074319049,2.87475558926532e-08,"PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;HEXB;GK5;TPI1;ENO1;GAPDH;SORD;MPI;GPI;NUDT5;PFKP;PFKFB4;GM2A;HK2;PGAM1;AGL;PGAM4;PYGL;MFSD8;SLC4A4;GALT;LIPA;ALDOA;PRKAA1;GK;HKDC1;PFKFB3;LCT;MANBA;GALE;GALM;NEU1;FBP1;GLB1;DHTKD1;PSEN1;PHKA1;MTCH2;NAGA;PGM2"
"Ribonucleoprotein Complex Biogenesis",-1.75016032444523,3.42669221006719e-08,"MPHOSPH6;TRMT61B;GAPDH;WDR43;NOL3;EIF3I;DKC1;SRPK2;CUL4B;RCL1;RRP36;RPF2;YBEY;C1QBP;RAN;RUVBL1;SNRNP40;RPS12;SHQ1;EXOSC8;PRMT5;NHP2;EIF3B;RRN3;DDX47;NIP7;NPM1;RRP7A;NUDT16;NOL11;RPL38;HSP90AB1;SNIP1;MRTO4;RPL7L1;TXNL4A;NDUFAB1;DDX1;TFB2M;SUV39H1;RPS13;CINP;TSR1;EBNA1BP2;IMP3;DDX55;RPP40;EXOSC7;PTGES3;RPS28;RPLP0;GNL2;NSUN4;HEATR3;NOP10;GTPBP4;ATR;RPS8;SNRPD3;RPL27;C1D;RPS5;RPP30;RUVBL2;RPS15A;RPS23;RPL35A;EIF2S2;RPS21;SF3B5;WDR36;RPL5;RPSA;RPS27A;POP4;METTL5;EMG1;SNRPD2;SRFBP1;RPL7A;HSP90AA1;FTSJ3;NOL7;RPS6;USP39;RNU6ATAC;RPS19BP1;RPL35;SNRPD1;MTG1;DDX31;SNRPA1;SNRPG;DCAF13;RPUSD2;RPS24;NVL;DDX52;NOP14;LSM4;TGS1;UTP6;SYNCRIP;URB2;DDX21;MRPS2;USP4;BYSL;UTP20;FBL;RPL13A;PRKDC;CLP1;RPS17;WDR3;RPS3A;NOB1;WDR77;RPS14;EIF5B;BMS1;RPS19;PES1;RPL11;SNRPB2;LAS1L;WDR12;RPL7;SRPK1;RPL14;NOP16;XRCC5;PHF5A;PWP1;DDX49;SNRPB;DICER1;SNRNP25;WDR74;DHX9;NAT10;POP7;SDAD1;SNRNP48;GEMIN6;SNRNP200;DDX18;LSM5;FASTKD2;FCF1;PIN4;HEATR1;SNRPC;NMD3;NSA2;RPL26;NOM1;METTL18;TSR2;SF3B3;FRG1;RPS27L;RNU2-1;TUFM;RPS16;EXOSC2;RNU5E-1;SNRPE"
"Oxidative Phosphorylation",-2.34927142867772,4.05086942654484e-08,"AK4;MLXIPL;NDUFB9;PARK7;NDUFS3;UQCR11;PPIF;NDUFAF1;NDUFA9;DGUOK;NDUFB3;UQCRC2;NDUFS8;RHOA;NDUFAB1;NDUFA12;NDUFS5;CYC1;GHITM;NDUFA8;NDUFA6;SDHD;COX6C;NDUFC2;NDUFV2;NDUFB2;UQCRH;STOML2;MTCH2;UQCRFS1;DLD;SLC25A33;NDUFA1;COX5B;NDUFB10;NDUFB8;MSH2;UQCR10;NDUFA7;COX4I1;UQCRQ;NDUFC1;SDHC;SHMT2;NDUFA13;COX7C;NDUFA4;VCP;NDUFS4;CHCHD2;COX6B1;COX7A2;TMEM135;COX7B;NDUFS1;COX6A1;SDHB;NDUFA11;SDHAF2"
"Nucleotide Biosynthetic Process",-2.17550762716711,8.81516564819389e-08,"AK4;AK7;QPRT;AK2;ENO1;NME1;PAICS;NDUFB9;MAP2K1;APRT;PAPSS2;NDUFS3;LIPA;ALDOA;NDUFA9;DGUOK;GMPS;NDUFB3;IMPDH2;PNP;NUDT2;NDUFS8;MTHFD1;NDUFAB1;NDUFA12;NDUFS5;AMPD3;NDUFA8;NDUFA6;NME4;UPP1;SDHD;NDUFC2;NDUFV2;NDUFB2;STOML2;NDUFA1;DCTD;PRKAG2;SLC25A13;ATIC;TBPL1;RRM1;DTYMK;HPRT1;NDUFB10;NDUFB8;DHODH;STAT3;NME3;NME7;NDUFA7;NAMPT;NDUFC1;PAPSS1;MTHFD2L;SDHC;NME2;NDUFA13;VCP;GART;NDUFS4;CMPK2"
"Organophosphate Catabolic Process",-2.01025647396351,1.48246559463123e-07,"PGK1;LDHA;MLXIPL;IDH1;ENPP3;ALDOC;ENO2;APOC1;UCP2;SMPDL3A;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;NME1;GPI;ENTPD3;SCARB1;NUDT5;PFKP;PFKFB4;HK2;PGAM1;PRDX6;ANGPTL3;PGAM4;PDE8A;MFSD8;NUDT12;SLC4A4;GALT;LIPA;ALDOA;ABHD6;PRKAA1;PDE10A;FITM2;PLD2;HKDC1;ACOT7;NUDT16;PNP;PFKFB3;GALE;ENTPD7;AMPD3;GALM;SUCLG1;FBP1;ITPA;UNG;UPP1;DHTKD1;PSEN1;ABHD12B;MTCH2"
"Nucleoside Diphosphate Catabolic Process",-2.3275221614974,1.65773110561165e-07,"PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;HK2;PGAM1;PGAM4;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;HKDC1;PFKFB3;ENTPD7;FBP1;DHTKD1;PSEN1;MTCH2"
"Alcohol Metabolic Process",-1.98864243167222,1.69901990020062e-07,"EBP;IDH1;NSDHL;FDPS;CYP11A1;APOC1;NR1H4;PCSK9;CYP51A1;DHCR7;MVK;GK5;TPI1;VLDLR;HSD17B7;SORD;ACLY;LSS;MVD;SEC14L2;APOA1;SCARB1;STAR;CAT;TPK1;AKR1B1;RDH11;PARK7;SQLE;ANGPTL3;HMGCS1;DHRS3;LPCAT3;APOE;ALDH1B1;ACSS2;HSD17B6;IDI1;ERRFI1;AKR1C2;STARD4;SPTLC2;LIPA;FDFT1;ABCA1;PRKAA1;SRD5A3;GK;DHRS9;SPTSSA;INSIG2;RETSAT;HMGCR;MINPP1;MAPK1;AGK;ALDH1A3;ALDH3A2;PPIP5K2;ERLIN2;ACER2;SPR;PMVK;IPMK;AKR1C1;CYP2R1;DHCR24;IPPK;GOT1;PECR;NUDT3;INSIG1;DGAT2;ERLIN1;LHCGR"
"Electron Transport Chain",-2.29136114084974,1.69901990020062e-07,"SOD2;NDUFB9;PARK7;NDUFS3;UQCR11;NDUFAF1;NDUFA9;DGUOK;DHRS2;NDUFB3;UQCRC2;ETFB;NDUFS8;PDIA5;NDUFAB1;NDUFA12;NDUFS5;CYC1;GHITM;NDUFA8;ETFA;NDUFA6;SDHD;COX6C;NDUFC2;NDUFV2;NDUFB2;UQCRH;MTCH2;UQCRFS1;DLD;NDUFA1;COX5B;NDUFB10;NDUFB8;ETFDH;UQCR10;NDUFA7;COX4I1;UQCRQ;POR;NDUFC1;SDHC;COX7C;NDUFA4;NDUFS4;CHCHD2;COX6B1;COX7A2;COX7B;NDUFS1;HCCS;COX6A1;SDHB;NDUFA11;SDHAF2;COX8A;SNCA;NDUFB4;NDUFS6;SDHA;COQ9;PUM2;NDUFA2"
"Pyridine Containing Compound Metabolic Process",-2.136822639822,2.91522789389164e-07,"PGK1;LDHA;MLXIPL;IDH1;ALDOC;ENO2;QPRT;UCP2;SLC2A6;LDHB;UCHL1;TPI1;ENO1;GAPDH;ACO1;GOT2;GPI;PFKP;PFKFB4;HK2;PGAM1;PGAM4;MFSD8;MDH1;NUDT12;SLC4A4;LIPA;SLC25A18;TKT;ALDOA;PRKAA1;PSAT1;HKDC1;PNP;PFKFB3;PDXK;PGD"
