id,Unnamed: 1,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5
90007,MIDN,177.68,86.87,74.29,81.2,129.61,123.07,130.89,157.34,116.71,44.26
9001,HAP1,0.0,0.37,0.08,0.0,0.31,0.15,0.06,0.57,0.35,0.08
90011,KIR3DX1,0.07,0.32,0.35,0.66,0.15,0.0,0.22,0.24,0.08,0.0
90019,SYT8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
9002,F2RL3,0.84,0.48,0.29,0.01,0.36,0.47,0.42,0.66,0.49,0.44
90024,FLJ20021,3.67,3.21,2.7,2.9,2.7,3.35,2.05,2.7,2.17,7.52
90025,UBE2CBP,1.38,2.14,2.06,1.21,1.55,2.16,1.59,1.37,1.17,0.88
90050,FAM181A,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0
90060,CCDC120,6.82,3.58,1.67,2.74,3.26,5.43,4.27,5.54,2.87,2.12
90070,LACRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
90075,ZNF30,0.73,2.54,1.96,1.67,0.81,0.64,1.77,1.53,0.57,1.28
901,CCNG2,20.24,31.74,21.35,43.05,40.34,13.06,22.76,33.6,26.76,22.93
90102,PHLDB2,57.79,38.1,82.56,54.6,106.06,43.44,65.12,57.52,37.9,34.52
90113,VWA5B2,2.79,0.91,0.6,0.53,4.56,3.89,2.11,4.5,4.28,3.47
90120,C9orf69,30.22,20.88,22.15,20.36,28.76,22.03,12.51,28.08,19.74,27.22
90121,TSR2,8.56,8.82,10.08,6.73,5.72,8.01,7.71,6.66,5.18,8.24
9013,TAF1C,37.17,23.45,19.27,19.7,23.26,25.79,27.6,38.83,19.23,21.39
90134,KCNH7,0.21,0.43,0.25,1.33,0.42,0.19,0.39,0.48,0.34,0.34
90135,BTBD6,31.83,24.46,26.96,28.09,27.01,27.65,20.01,33.21,32.55,32.83
90139,TSPAN18,0.39,1.36,0.89,0.54,0.72,0.15,1.08,2.11,1.04,0.36
9014,TAF1B,10.41,13.66,17.48,16.56,14.67,16.49,12.82,12.69,17.18,8.0
90141,EFCAB11,0.52,0.59,0.54,0.31,0.53,0.6,0.54,0.46,0.8,1.06
9015,TAF1A,4.01,3.56,5.77,3.63,5.02,4.96,4.97,4.24,4.32,4.21
9016,SLC25A14,11.57,10.64,9.91,10.22,7.31,9.44,9.47,9.69,15.03,13.31
90161,HS6ST2,0.57,0.16,0.29,0.37,0.36,0.41,0.03,0.53,0.15,0.0
